,epoch,_wandb,val_acc,test_acc,_timestamp,lr,_step,_runtime,train_acc,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
1503,199.0,{'runtime': 8},0.6666666666666666,0.7065217391304348,1702219824.0482628,1e-05,199.0,9.533577919006348,0.6923076923076923,4,GlobalAttentionNet,4,HotKlog,32,16,0,25
1504,199.0,{'runtime': 7},0.5,0.7608695652173914,1702219819.696697,1e-05,199.0,8.206207036972046,1.0,4,GIN,1,HotKlog,32,32,0,25
1505,199.0,{'runtime': 9},0.6666666666666666,0.7065217391304348,1702219823.922177,1e-05,199.0,9.799558162689207,0.6923076923076923,4,GlobalAttentionNet,4,HotKlog,32,16,1,25
1506,199.0,{'runtime': 6},0.5,0.6739130434782609,1702219805.205107,1e-05,199.0,7.153620004653931,0.8846153846153846,4,SAGPool,4,HotKlog,32,16,1,25
1507,199.0,{'runtime': 6},0.6666666666666666,0.7282608695652174,1702219804.897953,1e-05,199.0,6.897071123123169,0.8076923076923077,4,GCN,4,HotKlog,32,16,1,25
1508,199.0,{'runtime': 6},0.6666666666666666,0.7065217391304348,1702219805.106132,1e-05,199.0,7.313064098358154,0.6923076923076923,4,SAGPool,4,HotKlog,32,16,0,25
1509,199.0,{'runtime': 9},0.6666666666666666,0.7282608695652174,1702219801.6395142,1e-05,199.0,9.981065273284912,0.7307692307692307,4,GCN,4,HotKlog,32,16,0,25
1510,199.0,{'runtime': 10},0.5,0.7391304347826086,1702219801.862726,1e-05,199.0,11.07447385787964,1.0,4,GIN,4,HotKlog,32,16,1,25
1511,199.0,{'runtime': 8},0.6666666666666666,0.7065217391304348,1702219798.564422,1e-05,199.0,8.786383867263794,0.7692307692307693,4,GlobalAttentionNet,3,HotKlog,32,16,0,25
1512,199.0,{'runtime': 10},0.6666666666666666,0.7391304347826086,1702219801.50109,1e-05,199.0,10.929660081863403,1.0,4,GIN,4,HotKlog,32,16,0,25
1513,199.0,{'runtime': 7},0.8333333333333334,0.6956521739130435,1702219802.978344,1e-05,199.0,8.166616916656494,0.7692307692307693,4,GlobalAttentionNet,3,HotKlog,32,16,1,25
1514,199.0,{'runtime': 9},0.6666666666666666,0.7065217391304348,1702219798.19385,1e-05,199.0,12.819435119628906,0.6923076923076923,4,SAGPool,3,HotKlog,32,16,1,25
1515,199.0,{'runtime': 9},0.5,0.7282608695652174,1702219797.816246,1e-05,199.0,13.848250150680542,0.9615384615384616,4,SAGPool,3,HotKlog,32,16,0,25
1516,199.0,{'runtime': 6},0.5,0.7065217391304348,1702219782.998888,1e-05,199.0,6.953979969024658,0.9230769230769232,4,GCN,3,HotKlog,32,16,1,25
1517,199.0,{'runtime': 7},0.6666666666666666,0.7065217391304348,1702219780.299413,1e-05,199.0,7.977488040924072,0.6923076923076923,4,GCN,3,HotKlog,32,16,0,25
1518,199.0,{'runtime': 8},0.5,0.7391304347826086,1702219781.144647,1e-05,199.0,8.889708995819092,1.0,4,GIN,3,HotKlog,32,16,1,25
1519,199.0,{'runtime': 7},0.6666666666666666,0.7065217391304348,1702219779.4482582,1e-05,199.0,8.64542007446289,0.6923076923076923,4,GlobalAttentionNet,2,HotKlog,32,16,1,25
1520,199.0,{'runtime': 8},0.6666666666666666,0.717391304347826,1702219781.098374,1e-05,199.0,9.011708974838257,1.0,4,GIN,3,HotKlog,32,16,0,25
1521,199.0,{'runtime': 8},0.6666666666666666,0.7282608695652174,1702219778.477346,1e-05,199.0,8.948884010314941,0.7307692307692307,4,SAGPool,2,HotKlog,32,16,0,25
1522,199.0,{'runtime': 8},0.6666666666666666,0.7065217391304348,1702219778.985903,1e-05,199.0,9.126505136489868,0.6923076923076923,4,SAGPool,2,HotKlog,32,16,1,25
1523,199.0,{'runtime': 8},0.6666666666666666,0.7065217391304348,1702219779.291394,1e-05,199.0,8.70302700996399,0.6923076923076923,4,GlobalAttentionNet,2,HotKlog,32,16,0,25
1524,199.0,{'runtime': 9},0.5,0.7065217391304348,1702219774.583502,1e-05,199.0,10.137539148330688,0.8846153846153846,4,GCN,2,HotKlog,32,16,1,25
1525,199.0,{'runtime': 8},0.6666666666666666,0.7065217391304348,1702219772.5192032,1e-05,199.0,9.441748142242432,0.6923076923076923,4,GCN,2,HotKlog,32,16,0,25
1526,199.0,{'runtime': 5},0.5,0.7065217391304348,1702219765.34079,1e-05,199.0,6.110888957977295,1.0,4,GIN,2,HotKlog,32,16,1,25
1527,199.0,{'runtime': 6},1.0,0.8804347826086957,1702219761.299135,1e-05,199.0,6.81706690788269,1.0,4,GIN,2,HotKlog,32,16,0,25
