,epoch,_wandb,val_acc,_runtime,test_acc,train_acc,lr,_step,_timestamp,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
58,199.0,{'runtime': 10},0.98,10.720314979553224,0.967391304347826,1.0,1e-05,199.0,1701881687.384913,4,SAGPool,1,HotIn,32,32,1,200
59,199.0,{'runtime': 10},0.98,10.84982705116272,0.9565217391304348,0.995,1e-05,199.0,1701881687.32163,4,SAGPool,1,HotIn,32,32,0,200
60,199.0,{'runtime': 12},1.0,12.7737078666687,0.9891304347826086,0.995,1e-05,199.0,1701881686.843591,4,GCN,1,HotIn,32,32,0,200
61,199.0,{'runtime': 11},1.0,12.331215143203735,0.9891304347826086,0.995,1e-05,199.0,1701881686.85924,4,GCN,1,HotIn,32,32,1,200
62,199.0,{'runtime': 13},0.98,14.538388967514038,0.9891304347826086,1.0,1e-05,199.0,1701881685.513154,4,GIN,1,HotIn,32,32,1,200
63,199.0,{'runtime': 14},1.0,14.960544109344482,1.0,1.0,1e-05,199.0,1701881685.477302,4,GIN,1,HotIn,32,32,0,200
64,199.0,{'runtime': 13},1.0,14.156939268112184,0.9891304347826086,1.0,1e-05,199.0,1701881663.5994182,4,GlobalAttentionNet,4,HotIn,32,16,1,200
65,199.0,{'runtime': 13},1.0,14.097588062286375,0.9891304347826086,1.0,1e-05,199.0,1701881663.459854,4,GlobalAttentionNet,4,HotIn,32,16,0,200
66,199.0,{'runtime': 15},0.98,15.597468137741089,0.9782608695652174,1.0,1e-05,199.0,1701881663.9625611,4,SAGPool,4,HotIn,32,16,1,200
67,199.0,{'runtime': 15},0.98,16.02227520942688,0.9891304347826086,1.0,1e-05,199.0,1701881663.568025,4,SAGPool,4,HotIn,32,16,0,200
68,199.0,{'runtime': 14},0.62,15.542638063430786,0.7065217391304348,0.665,1e-05,199.0,1701881662.3362272,4,GCN,4,HotIn,32,16,1,200
69,199.0,{'runtime': 20},0.98,21.44163393974304,0.9565217391304348,0.975,1e-05,199.0,1701881666.3644989,4,GIN,4,HotIn,32,16,0,200
70,199.0,{'runtime': 20},0.98,20.96999430656433,0.9782608695652174,0.985,1e-05,199.0,1701881666.6957922,4,GIN,4,HotIn,32,16,1,200
71,199.0,{'runtime': 14},0.62,15.460613012313845,0.7065217391304348,0.665,1e-05,199.0,1701881662.187786,4,GCN,4,HotIn,32,16,0,200
72,199.0,{'runtime': 13},1.0,13.75244402885437,0.9891304347826086,1.0,1e-05,199.0,1701881635.538743,4,GlobalAttentionNet,3,HotIn,32,16,1,200
73,199.0,{'runtime': 13},1.0,13.761083126068115,1.0,1.0,1e-05,199.0,1701881634.878082,4,GlobalAttentionNet,3,HotIn,32,16,0,200
74,199.0,{'runtime': 14},0.98,14.74868106842041,0.9456521739130436,1.0,1e-05,199.0,1701881635.426527,4,SAGPool,3,HotIn,32,16,1,200
75,199.0,{'runtime': 13},0.72,14.321480989456177,0.7065217391304348,0.76,1e-05,199.0,1701881634.373734,4,GCN,3,HotIn,32,16,1,200
76,199.0,{'runtime': 14},0.98,14.962953090667725,0.9782608695652174,1.0,1e-05,199.0,1701881635.0216582,4,SAGPool,3,HotIn,32,16,0,200
77,199.0,{'runtime': 13},0.96,14.28104281425476,0.967391304347826,0.935,1e-05,199.0,1701881633.698644,4,GCN,3,HotIn,32,16,0,200
78,199.0,{'runtime': 18},0.98,19.28706979751587,0.9891304347826086,1.0,1e-05,199.0,1701881637.143072,4,GIN,3,HotIn,32,16,1,200
79,199.0,{'runtime': 19},0.98,19.891818046569824,0.9782608695652174,1.0,1e-05,199.0,1701881636.411932,4,GIN,3,HotIn,32,16,0,200
80,199.0,{'runtime': 11},1.0,12.150260925292969,0.9782608695652174,1.0,1e-05,199.0,1701881606.804446,4,GlobalAttentionNet,2,HotIn,32,16,0,200
81,199.0,{'runtime': 11},1.0,12.373332977294922,0.9782608695652174,1.0,1e-05,199.0,1701881607.082676,4,GlobalAttentionNet,2,HotIn,32,16,1,200
82,199.0,{'runtime': 11},0.96,12.487437963485718,0.9891304347826086,0.975,1e-05,199.0,1701881606.221237,4,GCN,2,HotIn,32,16,1,200
83,199.0,{'runtime': 11},0.98,12.412805080413818,0.9347826086956522,0.995,1e-05,199.0,1701881606.661963,4,SAGPool,2,HotIn,32,16,1,200
84,199.0,{'runtime': 11},0.98,12.404561042785645,0.9565217391304348,1.0,1e-05,199.0,1701881606.645374,4,SAGPool,2,HotIn,32,16,0,200
