,_step,_wandb,val_acc,train_acc,_timestamp,lr,epoch,_runtime,test_acc,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
821,199.0,{'runtime': 16},0.9230769230769232,0.9,1702386542.550864,1e-05,199.0,17.101016998291016,0.717391304347826,0,GINE,2,HotEdgesFull,16,64,"[1, 2]",50
822,199.0,{'runtime': 11},0.8461538461538461,0.94,1702386536.938764,1e-05,199.0,12.587845087051392,0.7391304347826086,0,GlobalAttentionNet,1,HotEdgesFull,16,64,"[1, 2]",50
823,199.0,{'runtime': 14},0.9230769230769232,0.96,1702386539.619673,1e-05,199.0,15.407284021377563,0.717391304347826,0,GINE,1,HotEdgesFull,16,64,"[1, 2]",50
824,199.0,{'runtime': 14},0.9230769230769232,0.94,1702386535.4975202,1e-05,199.0,15.221036195755005,0.717391304347826,0,GlobalAttentionNet,4,HotEdgesFull,16,32,"[1, 2]",50
825,199.0,{'runtime': 24},0.7692307692307693,0.88,1702386542.649143,1e-05,199.0,24.61896586418152,0.75,0,GINE,4,HotEdgesFull,16,32,"[1, 2]",50
826,199.0,{'runtime': 12},0.8461538461538461,0.94,1702386530.736798,1e-05,199.0,13.149894952774048,0.7391304347826086,0,GlobalAttentionNet,3,HotEdgesFull,16,32,"[1, 2]",50
827,199.0,{'runtime': 22},0.9230769230769232,0.96,1702386538.4941142,1e-05,199.0,22.794175148010257,0.717391304347826,0,GINE,3,HotEdgesFull,16,32,"[1, 2]",50
828,199.0,{'runtime': 10},0.8461538461538461,0.92,1702386510.641114,1e-05,199.0,10.943779945373535,0.7282608695652174,0,GlobalAttentionNet,2,HotEdgesFull,16,32,"[1, 2]",50
829,199.0,{'runtime': 14},0.8461538461538461,0.92,1702386513.759802,1e-05,199.0,14.975959062576294,0.7391304347826086,0,GINE,2,HotEdgesFull,16,32,"[1, 2]",50
830,199.0,{'runtime': 10},0.9230769230769232,0.9,1702386509.714033,1e-05,199.0,11.182097911834717,0.7391304347826086,0,GlobalAttentionNet,1,HotEdgesFull,16,32,"[1, 2]",50
831,199.0,{'runtime': 15},0.9230769230769232,0.94,1702386510.12991,1e-05,199.0,15.759289026260376,0.717391304347826,0,GINE,1,HotEdgesFull,16,32,"[1, 2]",50
832,199.0,{'runtime': 13},0.5384615384615384,0.72,1702386507.622873,1e-05,199.0,15.855349063873293,0.7065217391304348,0,GlobalAttentionNet,4,HotEdgesFull,16,16,"[1, 2]",50
833,199.0,{'runtime': 22},0.9230769230769232,0.94,1702386514.147073,1e-05,199.0,22.883445024490356,0.75,0,GINE,4,HotEdgesFull,16,16,"[1, 2]",50
834,199.0,{'runtime': 12},0.9230769230769232,0.9,1702386502.930468,1e-05,199.0,13.538364171981812,0.7608695652173914,0,GlobalAttentionNet,3,HotEdgesFull,16,16,"[1, 2]",50
835,199.0,{'runtime': 21},0.7692307692307693,0.94,1702386509.2024362,1e-05,199.0,22.084118127822876,0.7608695652173914,0,GINE,3,HotEdgesFull,16,16,"[1, 2]",50
836,199.0,{'runtime': 10},0.8461538461538461,0.86,1702386485.116213,1e-05,199.0,11.089230060577393,0.75,0,GlobalAttentionNet,2,HotEdgesFull,16,16,"[1, 2]",50
837,199.0,{'runtime': 15},1.0,0.94,1702386487.350098,1e-05,199.0,15.729306936264038,0.7391304347826086,0,GINE,2,HotEdgesFull,16,16,"[1, 2]",50
838,199.0,{'runtime': 10},0.8461538461538461,0.9,1702386483.018352,1e-05,199.0,11.504782915115356,0.782608695652174,0,GlobalAttentionNet,1,HotEdgesFull,16,16,"[1, 2]",50
839,199.0,{'runtime': 13},0.9230769230769232,0.9,1702386484.15283,1e-05,199.0,14.354323863983154,0.7717391304347826,0,GINE,1,HotEdgesFull,16,16,"[1, 2]",50
840,199.0,{'runtime': 11},0.5,1.0,1702386481.209962,1e-05,199.0,12.00917100906372,0.7717391304347826,4,GlobalAttentionNet,4,HotEdgesFull,16,64,"[1, 2]",25
841,199.0,{'runtime': 18},0.8333333333333334,1.0,1702386486.02291,1e-05,199.0,19.176179885864254,0.6847826086956522,4,GINE,4,HotEdgesFull,16,64,"[1, 2]",25
842,199.0,{'runtime': 10},0.6666666666666666,1.0,1702386477.31646,1e-05,199.0,11.390926122665403,0.75,4,GlobalAttentionNet,3,HotEdgesFull,16,64,"[1, 2]",25
